Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
RPPINFRA,200,44.1,152.2,30440,21620,245.12,1.98
RPPL,300,155.1,251.75,75525,28993.6,62.31,0.02
RPSGVENT,250,449.06,730,182500,70234.85,62.56,-3.53
RTNINDIA,400,61.81,88.64,35456,10731,43.4,2.3
RTNPOWER,1000,6.95,10.71,10710,3760,54.1,2.49
RUPA,200,271.98,278.2,55640,1243.3,2.29,-0.54
RUSHIL,185,258.66,351.1,64953.5,17101.55,35.74,-1.82
SAHYADRI,60,413.34,422.6,25356,555.55,2.24,-2.2
SAIL,99,99.1,128.3,12701.7,2890.8,29.47,7.54
SALZERELEC,100,406.11,470.85,47085,6474.5,15.94,0.09
SAMKRG,240,123.55,177.6,42624,12972,43.75,-0.45
SANDHAR,100,228.73,463.05,46305,23431.7,102.44,-1.64
SANSERA,30,986.86,1019.45,30583.5,977.6,3.3,-0.61
SAREGAMA,120,407.1,350.5,42060,-6791.57,-13.9,-1.3
SATIA,250,117.8,135.65,33912.5,4462.5,15.15,-1.63
SATIN,151,84.5,249.9,37734.9,24975.4,195.74,-1.11
SATINDLTD,500,96.02,119,59500,11490.7,23.93,3.98
SAVERA,250,48.75,154,38500,26312.5,215.9,1.35
SBCL,125,547.96,581.55,72693.75,4199.2,6.13,-1.16
SCHNEIDER,225,164.46,462.85,104141.25,67137.05,181.43,-1.99
SECURKLOUD-BE,50,82.35,61,3050,-1067.4,-25.92,4.99
SENCO,1,415.3,769.6,769.6,354.3,85.31,-1.39
SEQUENT,200,123.55,139.7,27940,3230,13.07,3.06
SHAREINDIA,50,1176.66,1929.4,96470,37637.05,63.97,0.12
SHEMAROO,150,94.01,227.9,34185,20083.8,142.43,7.73
SHIVAMILLS,300,100.46,108,32400,2262.6,7.51,-0.51
SHK,121,137.75,166.4,20134.4,3466.65,20.8,0.21
SHREYAS,125,201.87,303.2,37900,12666.35,50.2,2.42
SHYAMCENT,3100,16.91,25.69,79639,27220.16,51.93,1.3
SHYAMMETL,200,306.23,705.35,141070,79824.9,130.34,0.44
