company_name,bse_code,zerodha_code,nse_code
Rasandik Engineering Industries India Ltd,522207.0,RASANDIK,
The Byke Hospitality Ltd,531373.0,THEBYKE,
Dhampure Speciality Sugars Ltd,531923.0,DHAMPURE,
Shree Ajit Pulp and Paper Ltd,538795.0,SAPPL,
IST Ltd,508807.0,ISTLTD,
Indag Rubber Ltd,509162.0,INDAG,
Nath Industries Ltd,502587.0,NATHIND,
Blue Cloud Softech Solutions Ltd,539607.0,CLOUD-SM,
PBM Polytex Ltd,514087.0,PBMPOLY,
BCPL Railway Infrastructure Ltd,542057.0,BCPL,
Steel Strips Infrastructures Ltd,513173.0,STLSTRINF,
Nucleus Software Exports Ltd,531209.0,NUCLEUS-BE,
Sika Interplant Systems Ltd,523606.0,SIKA,
VRL Logistics Ltd,539118.0,VRL,
Valiant Organics Ltd,540145.0,VALIANTORG,VALIANTORG
Avantel Ltd,532406.0,AVANTEL,
Lehar Footwears Ltd,532829.0,LEHAR,
Kovilpatti Lakshmi Roller Flour Mills Ltd,507598.0,KLRFM,
T & I Global Ltd,522294.0,TIGLOB,
Nippon India ETF Nifty IT,,ITBEES,
Indian Acrylics Ltd,514165.0,INDIANACRY,
Tyche Industries Ltd,532384.0,TYCHE,
Ambalal Sarabhai Enterprises Ltd,500009.0,AMBALALSA,
Suryaamba Spinning Mills Ltd,533101.0,SURYAAMBA,
TPL Plastech Ltd,526582.0,TPLPLAST,
Spel Semiconductor Ltd,517166.0,SPELS,
Panasonic Energy India Company Ltd,504093.0,PANAENERG,
Vedavaag Systems Ltd,533056.0,VEDAVAAG,
Shri Bajrang Alliance Ltd,526981.0,SHBAJRG,
Kanchi Karpooram Ltd,538896.0,KANCHI,
Shree Ganesh Remedies Ltd,540737.0,SGRL,
Shish Industries Ltd,540693.0,SHISHIND,
Ajanta Soya Ltd,519216.0,AJANTSOY,
Cochin Minerals & Rutile Ltd,513353.0,COCHINM,
Deepak Spinners Ltd,514030.0,DEEPAKSP,
Shetron Ltd,526137.0,SHETR,
Aro Granite Industries Ltd,513729.0,AROGRANITE-BE,
Chamanlal Setia Exports Ltd,530307.0,CHAMANSEQ,
Rajapalayam Mills Ltd,532503.0,RAJPALAYAM,
Talbros Automotive Components Ltd,505160.0,TALBROAUTO-BE,
Fermenta Biotech Ltd,506414.0,FERMENTA,
Anuh Pharma Ltd,506260.0,ANUHPHR,
Him Teknoforge Ltd,505712.0,HIMTEK,
Sayaji Hotels Ltd,523710.0,SAYAJIHOTL,
EKI Energy Services Ltd,543284.0,EKI,
Lyka Labs Ltd,500259.0,LYKALABS-BE,
AksharChem (India) Ltd,524598.0,AKSCHEM,
Calcom Vision Ltd,517236.0,CALCOM,
Kilburn Engineering Ltd,522101.0,KLBRENG-B,
Archit Organosys Ltd,524640.0,ARCHITORG,
