Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
SPECIALITY,50,143.05,190.05,9502.5,2350.0,32.86,-0.68
ALKYLAMINE,8,2238.62,2643.75,21150.0,3241.05,18.1,-0.69
ADFFOODS,125,152.88,206.35,25793.75,6683.3,34.97,-0.7
BORORENEW,100,275.0,482.45,48245.0,20745.0,75.44,-0.71
MANAKSIA,200,51.4,133.4,26680.0,16400.45,159.54,-0.71
GUJALKALI,7,506.94,805.0,5635.0,2086.4,58.8,-0.72
RAJPALAYAM,20,762.0,880.0,17600.0,2360.0,15.49,-0.72
SHARDACROP,15,459.71,444.3,6664.5,-231.2,-3.35,-0.72
DYNPRO,236,329.4,294.2,69431.2,-8306.15,-10.68,-0.73
NCC,1,59.35,174.5,174.5,115.15,194.02,-0.74
CANBK,150,372.15,462.0,69300.0,13477.5,24.14,-0.75
HINDWAREAP,51,386.21,499.75,25487.25,5790.65,29.4,-0.75
LAURUSLABS,160,349.34,427.3,68368.0,12473.9,22.32,-0.75
PRAJIND,80,357.03,548.55,43884.0,15321.5,53.64,-0.75
RUPA,90,198.0,272.2,24498.0,6678.0,37.47,-0.75
MOIL,250,153.13,312.0,78000.0,39716.55,103.74,-0.79
TALBROAUTO-BE,225,93.68,300.0,67500.0,46422.0,220.24,-0.79
FERMENTA,50,204.9,177.1,8855.0,-1390.0,-13.57,-0.81
PENIND,300,31.12,135.5,40650.0,31315.0,335.46,-0.81
MENONBE,200,65.74,138.95,27790.0,14642.4,111.37,-0.86
JPPOWER,700,3.89,16.85,11795.0,9075.0,333.64,-0.88
TECHNOE,50,274.95,803.4,40170.0,26422.5,192.2,-0.88
CAPPL,15,683.95,1392.0,20880.0,10620.75,103.52,-0.89
GUFICBIO,100,222.41,322.25,32225.0,9984.0,44.89,-0.89
ANUHPHR,200,96.45,176.7,35340.0,16050.0,83.2,-0.9
LOVABLE,50,152.34,148.0,7400.0,-216.85,-2.85,-0.9
MARKSANS,500,46.8,171.5,85750.0,62350.0,266.45,-0.9
SAKAR,1,137.4,406.95,406.95,269.55,196.18,-0.93
JKPAPER,100,221.0,396.95,39695.0,17595.0,79.62,-0.94
SRF,15,2211.75,2482.0,37230.0,4053.75,12.22,-0.94
VINDHYATEL,15,1047.0,2299.1,34486.5,18781.5,119.59,-0.95
KIRLOSENG,200,176.58,663.8,132760.0,97445.0,275.93,-0.98
SHALBY,150,119.04,303.3,45495.0,27638.7,154.78,-0.98
PREMIERPOL-BE,300,36.0,152.45,45735.0,34935.0,323.47,-1.01
ARIES,100,170.72,208.4,20840.0,3767.65,22.07,-1.07
BBL,12,1700.0,4772.5,57270.0,36870.0,180.74,-1.07
HIMTEK,275,96.13,177.3,48757.5,22322.5,84.44,-1.12
CARERATING,61,461.79,956.7,58358.7,30189.65,107.17,-1.13
NBCC,201,39.09,86.6,17406.6,9549.15,121.53,-1.14
NAVNETEDUL,1,137.5,155.15,155.15,17.65,12.84,-1.15
SAYAJIHOTL,75,53.42,271.95,20396.25,16390.08,409.12,-1.15
ADORWELD,26,763.53,1539.05,40015.3,20163.6,101.57,-1.16
MCX,1,1263.05,3144.45,3144.45,1881.4,148.96,-1.17
MAHABANK,500,27.2,46.72,23360.0,9760.0,71.76,-1.18
REPCOHOME,1,186.0,414.65,414.65,228.65,122.93,-1.18
SKMEGGPROD,100,63.1,397.3,39730.0,33420.0,529.64,-1.18
JINDALSTEL,44,571.21,735.75,32373.0,7239.85,28.81,-1.23
HGINFRA,110,663.37,850.2,93522.0,20551.05,28.16,-1.27
AMBUJACEM,100,361.72,542.35,54235.0,18063.5,49.94,-1.29
EKI,10,535.0,429.55,4295.5,-1054.5,-19.71,-1.29
STYLAMIND,9,1063.07,1636.15,14725.35,5157.75,53.91,-1.3
ORIENTALTL,250,12.75,10.23,2557.5,-630.0,-19.76,-1.35
QUESS,100,340.9,505.85,50585.0,16495.0,48.39,-1.36
TITAGARH,100,90.1,1007.1,100710.0,91700.0,1017.76,-1.37
MON100,930,101.88,132.47,123197.1,28448.9,30.03,-1.38
SALZERELEC,100,177.64,441.0,44100.0,26336.25,148.26,-1.38
MTNL,250,22.8,35.2,8800.0,3100.0,54.39,-1.4
JMFINANCIL,400,65.5,101.15,40460.0,14260.0,54.43,-1.41
BANCOINDIA,110,167.61,641.2,70532.0,52095.0,282.56,-1.46
MAYURUNIQ,54,361.45,560.05,30242.7,10724.65,54.95,-1.5
SUTLEJTEX,300,46.2,61.26,18378.0,4518.0,32.6,-1.53
LALPATHLAB,17,1811.15,2597.6,44159.2,13369.65,43.42,-1.56
RAMAPHO,41,298.44,233.6,9577.6,-2658.45,-21.73,-1.64
FORCEMOT,25,1039.58,3603.55,90088.75,64099.3,246.64,-1.66
PIXTRANS,40,1289.68,1314.5,52580.0,992.85,1.92,-1.66
LXCHEM,200,272.86,288.95,57790.0,3218.4,5.9,-1.68
LYKALABS-BE,100,120.35,133.5,13350.0,1315.2,10.93,-1.69
GOKEX,200,187.96,839.6,167920.0,130327.65,346.69,-1.7
RATEGAIN,40,299.0,734.85,29394.0,17434.0,145.77,-1.7
KRSNAA,20,497.0,713.0,14260.0,4320.0,43.46,-1.73
BESTAGRO,30,1128.83,832.55,24976.5,-8888.5,-26.25,-1.75
ASHOKA,809,77.33,143.6,116172.4,53610.15,85.69,-1.78
EMMBI,200,100.54,107.4,21480.0,1372.25,6.82,-1.83
INDSWFTLAB,500,63.75,108.5,54250.0,22375.0,70.2,-1.85
JKLAKSHMI,40,460.9,877.35,35094.0,16658.0,90.36,-1.88
NILE,25,649.6,912.7,22817.5,6577.5,40.5,-1.9
AKSCHEM,25,353.95,286.45,7161.25,-1687.55,-19.07,-1.95
UCAL,50,112.5,145.35,7267.5,1642.5,29.2,-1.99
BLISSGVS,250,68.9,130.25,32562.5,15337.5,89.04,-2.03
STAR,48,350.38,711.25,34140.0,17321.85,102.99,-2.06
PRAKASH-BE,400,64.9,191.1,76440.0,50481.95,194.48,-2.08
CALCOM,50,56.5,161.5,8075.0,5250.0,185.84,-2.15
KLBRENG-B,125,285.18,277.0,34625.0,-1023.0,-2.87,-2.29
GSFC,100,132.85,284.6,28460.0,15175.0,114.23,-2.35
