Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ANUP,10,923.15,2722.35,27223.5,17992.0,194.9,0.6
APARINDS,20,648.05,5819.4,116388.0,103427.0,797.99,-1.1
APCL,75,144.9,214.85,16113.75,5246.35,48.28,-2.91
APEX,41,201.0,234.25,9604.25,1363.25,16.54,-2.07
APOLLO,2000,11.49,127.05,254100.0,231130.0,1006.23,-2.16
ARROWGREEN,100,333.44,424.25,42425.0,9081.2,27.24,0.88
ARTSONEN,140,157.03,170.15,23821.0,1837.25,8.36,-5.0
ARVIND,50,117.5,262.0,13100.0,7225.0,122.98,-0.15
ARVINDFASN,250,299.21,435.3,108825.0,34022.1,45.48,1.79
ASAHISONG,50,297.64,315.65,15782.5,900.3,6.05,-1.19
ASALCBR,150,428.51,494.4,74160.0,9883.2,15.38,-0.3
ASHAPURMIN,200,129.65,435.9,87180.0,61250.0,236.21,0.0
ASIANTILES,500,55.25,72.7,36350.0,8725.0,31.58,-3.52
ARIHANTSUP,125,213.46,307.75,38468.75,11786.1,44.17,1.22
ASRL,170,67.62,31.32,5324.4,-6171.4,-53.68,-0.03
ASTEC,5,1640.2,1089.45,5447.25,-2753.75,-33.58,0.59
ASTERDM,1,135.15,417.6,417.6,282.45,208.99,4.15
ATL,1000,52.2,69.35,69350.0,17150.0,32.85,2.59
AURUM,700,87.03,129.8,90860.0,29940.05,49.15,0.78
AURUMPP-E1,825,20.0,66.2,54615.0,38115.0,231.0,-1.78
AVALON,100,486.44,545.2,54520.0,5876.3,12.08,-0.89
AVANTI,25,412.6,450.7,11267.5,952.5,9.23,1.55
AWHCL,50,269.8,494.9,24745.0,11255.0,83.43,3.08
AXISCADES,75,104.94,727.3,54547.5,46676.8,593.05,0.48
AXTEL,100,227.17,559.3,55930.0,33213.0,146.2,-0.24
BAJAJELEC,10,708.68,1026.35,10263.5,3176.68,44.83,0.43
BAJAJHCARE,100,340.0,375.45,37545.0,3545.0,10.43,0.52
BAJAJHIND,1500,12.19,28.58,42870.0,24585.0,134.45,0.14
BAJEL,310,125.84,129.95,40284.5,1275.52,3.27,12.85
BALAMINES,10,2838.42,2630.35,26303.5,-2080.7,-7.33,-1.57
BALPHARMA,75,67.25,103.35,7751.25,2707.5,53.68,-1.34
BALRAMCHIN,25,156.4,403.5,10087.5,6177.5,157.99,-0.93
BANKBARODA,150,93.4,234.65,35197.5,21187.5,151.23,-1.3
BANSWRAS,100,95.75,157.85,15785.0,6210.0,64.86,2.57
BAPACK,100,193.9,230.75,23075.0,3685.0,19.0,4.98
BARBEQUE,5,1088.55,637.55,3187.75,-2255.0,-41.43,-1.73
BASML,349,35.14,49.27,17195.23,4930.83,40.2,0.37
BBTC,15,892.0,1593.85,23907.75,10527.8,78.68,0.06
BCG,900,25.41,19.3,17370.0,-5495.0,-24.03,-0.57
BCLIL,500,49.14,75.0,37500.0,12932.5,52.64,9.89
BEEKAY,50,371.78,647.95,32397.5,13808.5,74.28,0.5
BEPL,1000,17.97,112.2,112200.0,94227.6,524.29,2.0
BESTAGRO,30,1208.26,832.55,24976.5,-11271.3,-31.1,-1.75
BETA-SM,200,822.75,1427.35,285470.0,120920.0,73.49,-1.01
BGRENERGY,100,70.97,94.4,9440.0,2343.35,33.02,1.68
BHARATFORG,80,810.16,1267.05,101364.0,36551.5,56.4,0.5
BIGBLOC,200,131.95,163.5,32700.0,6310.0,23.91,-0.18
BIRLACABLE,250,151.57,277.6,69400.0,31507.5,83.15,-1.07
BIRLACORPN,35,966.1,1434.2,50197.0,16383.55,48.45,0.32
BIRLAMONEY,200,70.4,119.1,23820.0,9740.0,69.18,-0.75
BODALCHEM,350,55.25,83.65,29277.5,9940.0,51.4,-0.12
BRIGHT-ST,3000,7.9,6.95,20850.0,-2850.0,-12.03,4.51
BSE,41,100.36,2303.75,94453.75,90338.8,2195.38,1.17
CAMS,10,2757.25,2748.15,27481.5,-90.95,-0.33,1.47
CANBK,130,308.9,462.0,60060.0,19903.5,49.56,-0.75
CANFINHOME,130,737.91,781.4,101582.0,5653.9,5.89,-0.55
CAPACITE,100,140.73,279.9,27990.0,13916.95,98.89,-1.86
CAPPL,60,558.0,1392.0,83520.0,50040.1,149.46,-0.89
CARBORUNIV,20,774.01,1145.5,22910.0,7429.75,48.0,2.75
CARYSIL,100,177.93,847.95,84795.0,67002.5,376.58,0.84
CCL,30,521.87,632.0,18960.0,3303.8,21.1,0.25
CEREBRAINT,3000,6.18,7.34,22020.0,3480.0,18.77,0.41
CESC,500,78.6,138.6,69300.0,30000.0,76.34,2.78
CHAMBLFERT,150,259.01,372.8,55920.0,17068.3,43.93,-3.64
CHANDRAP,375,47.19,31.12,11670.0,-6027.2,-34.06,-2.54
CHEMCRUX,275,133.9,300.7,82692.5,45870.0,124.57,-0.53
CHOLAFIN,10,703.95,1257.85,12578.5,5539.0,78.68,-3.04
CMICABLES-BZ,200,9.8,6.35,1270.0,-690.0,-35.2,4.96
CMSINFO,25,263.0,378.85,9471.25,2896.25,44.05,-0.14
COCHINSHIP,100,361.4,1362.7,136270.0,100129.95,277.06,-0.04
CONTROLPR,20,368.89,1032.25,20645.0,13267.3,179.83,-0.61
COROMANDEL,65,885.01,1246.4,81016.0,23490.1,40.83,-0.67
COSMOFIRST,175,659.37,614.5,107537.5,-7852.1,-6.8,0.24
CUB,500,123.85,153.15,76575.0,14650.0,23.66,-0.45
CYBERTECH,200,86.45,204.0,40800.0,23510.0,135.97,1.22
CYIENT,30,902.76,2236.7,67101.0,40018.15,147.76,-1.33
CYIENTDLM,115,654.28,663.25,76273.75,1031.3,1.37,-0.51
DATAPATTNS,25,991.44,1903.45,47586.25,22800.2,91.99,1.29
DCAL,160,152.48,186.8,29888.0,5492.0,22.51,-0.59
DCMNVL,25,227.3,182.1,4552.5,-1130.0,-19.89,0.61
DCMSHRIRAM,10,320.15,1077.7,10777.0,7575.5,236.62,-5.59
DCMSRIND,200,80.73,160.45,32090.0,15943.05,98.74,1.87
DCXINDIA,150,364.37,352.25,52837.5,-1818.35,-3.33,-1.92
DEEPAKNI,10,1824.0,2446.0,24460.0,6220.0,34.1,-1.61
DELTACORP,300,181.23,152.3,45690.0,-8680.0,-15.96,-2.37
DEN,1400,26.35,59.14,82796.0,45906.0,124.44,2.12
DENORA,10,400.0,1575.65,15756.5,11756.5,293.91,1.16
DHANUKA,95,686.34,1171.65,111306.75,46104.5,70.71,2.03
DHPIND,15,594.5,795.0,11925.0,3007.5,33.73,-0.14
DIANATEA,300,31.15,28.5,8550.0,-795.0,-8.51,0.67
DIGISPICE,600,19.88,34.79,20874.0,8946.0,75.0,9.99
DLINKINDIA,200,125.69,320.65,64130.0,38991.9,155.11,-0.94
DODLA,50,456.38,897.95,44897.5,22078.55,96.76,1.14
DOLATALGO,350,40.6,65.5,22925.0,8715.0,61.33,0.08
DOLLAR,100,302.64,456.4,45640.0,15376.35,50.81,-4.29
DPWIRES,57,167.67,577.05,32891.85,23334.55,244.15,1.91
DRAGARWQ,45,1440.12,3121.0,140445.0,75639.75,116.72,-2.23
DVL,50,263.49,329.6,16480.0,3305.6,25.09,-0.59
DWARKESH,135,89.14,87.27,11781.45,-252.05,-2.09,0.34
DYNAMIC,200,79.85,483.5,96700.0,80730.0,505.51,1.32
DYNAMATECH,5,2181.9,5253.7,26268.5,15359.0,140.79,0.03
DYNPRO,65,345.13,294.2,19123.0,-3310.25,-14.76,-0.73
EASEMYTRIP,200,43.05,41.43,8286.0,-324.0,-3.76,1.37
EIDPARRY,250,486.17,574.45,143612.5,22071.25,18.16,-0.23
EIMCOELECO,1,351.7,1640.0,1640.0,1288.3,366.31,-0.89
EKC,300,94.83,128.6,38580.0,10129.8,35.61,-0.12
ELECTCAST,590,38.85,129.85,76611.5,53691.5,234.26,5.4
ELIN,400,148.68,151.0,60400.0,926.15,1.56,-0.46
EMAMIPAP,140,165.4,120.0,16800.0,-6355.95,-27.45,-2.28
EMKAY-BE,250,105.38,146.5,36625.0,10280.75,39.02,4.94
EMMBI,600,111.57,107.4,64440.0,-2502.7,-3.74,-1.83
EMUDHRA,100,243.79,451.7,45170.0,20790.55,85.28,0.33
ENDURANCE,15,1181.1,2116.45,31746.75,14030.25,79.19,9.53
EPIGRAL,35,1140.19,1037.8,36323.0,-3583.7,-8.98,-2.92
EPL,350,165.31,201.4,70490.0,12631.6,21.83,0.27
EQUITASBNK,924,39.54,114.6,105890.4,69355.6,189.83,2.78
ESSENTIA,3000,6.1,10.71,32130.0,13830.0,75.57,-8.54
ESTER,270,83.5,96.61,26084.7,3539.7,15.7,-1.11
ETHOSLTD,60,1548.26,2218.95,133137.0,40241.7,43.32,0.09
EVERESTIND,1,710.05,1377.0,1377.0,666.95,93.93,-1.66
EXCEL-BE,7500,0.59,0.5,3750.0,-650.0,-14.77,0.0
FAZE3Q,75,296.27,446.2,33465.0,11245.0,50.61,-0.52
FIBERWEB,250,47.56,35.79,8947.5,-2942.5,-24.75,-1.3
FIEMIND,15,981.44,2119.85,31797.75,17076.2,115.99,-0.1
FINCABLES,50,459.62,1044.15,52207.5,29226.5,127.18,1.5
FINOPB,160,195.41,292.0,46720.0,15454.05,49.43,6.71
FINOLEXIND,100,167.8,237.35,23735.0,6955.0,41.45,8.7
COCKERILL,10,1700.0,2976.8,29768.0,12768.0,75.11,-0.85
FLUOROCHEM,20,2928.47,3625.6,72512.0,13942.7,23.81,-5.2
FSL,200,133.0,193.25,38650.0,12050.0,45.3,2.17
GAEL,100,234.5,363.7,36370.0,12920.0,55.1,0.8
GALLANTT,480,67.25,185.3,88944.0,56664.0,175.54,-3.96
GANDHITUBE,15,387.0,721.1,10816.5,5011.5,86.33,-1.81
GATEWAY,800,63.85,110.65,88520.0,37441.95,73.3,2.22
ACLGATI,30,165.1,128.95,3868.5,-1084.5,-21.9,-0.85
GEE,401,65.83,135.75,54435.75,28037.35,106.21,4.99
GEEKAYWIRE-BE,1000,32.55,92.5,92500.0,59946.35,184.15,-1.39
GENPHARMA,1000,2.86,7.92,7920.0,5060.0,176.92,19.64
GENSOL-BE,80,737.02,818.9,65512.0,6550.35,11.11,-1.15
GENUSPOWER,100,86.69,268.1,26810.0,18141.4,209.28,1.57
GEOJITFSL,268,59.5,82.89,22214.52,6268.52,39.31,-1.5
GINNIFILA,200,44.7,30.35,6070.0,-2870.0,-32.1,4.84
GKWLIMITED-BE,130,525.01,1550.6,201578.0,133326.5,195.35,0.05
GMM,50,1470.03,1580.65,79032.5,5531.0,7.53,1.76
GMRINFRA,600,36.32,83.91,50346.0,28556.0,131.05,-0.69
GNA,100,285.9,448.7,44870.0,16279.95,56.94,0.45
GODAVARI,150,64.9,105.0,15750.0,6015.0,61.79,-1.16
GODREJAGRO,70,469.32,563.75,39462.5,6610.3,20.12,-0.87
GODREJIND,25,414.97,845.8,21145.0,10770.65,103.82,2.75
GOLKUNDIA,200,118.04,142.95,28590.0,4982.5,21.11,1.17
GOODLUCK,25,917.76,1009.45,25236.25,2292.15,9.99,0.16
GPIL,100,268.05,772.7,77270.0,50465.3,188.27,-1.72
GPTINFRA,150,38.13,158.95,23842.5,18123.75,316.92,-1.24
GRAPHITE,30,261.05,544.6,16338.0,8506.5,108.62,-1.1
GRAUWEIL,1,58.7,130.85,130.85,72.15,122.91,-5.15
GRAVITA,50,83.9,1066.0,53300.0,49105.0,1170.56,-0.7
GREAVESCOT,100,151.11,156.65,15665.0,554.05,3.67,-2.97
GREENPANEL,50,269.8,440.35,22017.5,8527.5,63.21,0.09
GRWRHITECH,64,682.58,1394.65,89257.6,45572.55,104.32,-0.49
GSPL,245,274.4,333.75,81768.75,14540.05,21.63,-0.07
GSTL,600,27.22,18.09,10854.0,-5476.0,-33.53,4.99
GTLINFRA,1000,1.95,1.63,1630.0,-320.0,-16.41,4.49
GUFICBIO,100,186.08,322.25,32225.0,13617.5,73.18,-0.89
GUJGAS,1,489.85,506.85,506.85,17.0,3.47,0.1
GULFOILLUB,20,430.0,716.8,14336.0,5736.0,66.7,0.15
GULPOLY,120,160.43,223.05,26766.0,7515.0,39.04,3.48
HAL,40,589.82,2999.05,119962.0,96369.1,408.47,3.21
HALDYNGL,300,128.71,144.1,43230.0,4616.5,11.96,-1.74
HAPPSTMNDS,50,987.96,903.8,45190.0,-4207.75,-8.52,0.34
HBLPOWER,200,123.08,453.85,90770.0,66155.0,268.76,-0.35
HCC,500,17.05,31.2,15600.0,7075.0,82.99,0.48
HEIDELBERG,1,163.05,228.5,228.5,65.45,40.14,-0.44
HERITGFOOD,150,147.47,298.0,44700.0,22580.0,102.08,-1.7
HFCL,150,72.55,91.95,13792.5,2910.1,26.74,0.77
HGS,50,1036.13,986.7,49335.0,-2471.25,-4.77,0.24
